"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1B: O2 concentration [µM]","1A: O2 slope neg. [pmol·s-1·mL-1]","1B: O2 slope neg. [pmol·s-1·mL-1]","1: Temperature [°C]","1: Peltier power [%]"
89.3667,"","","",559.916,565.143,72.3984,81.8684,37.001,9.825
89.4000,"","","",559.364,563.85,73.2817,85.8278,37.001,9.791
89.4333,"","","",558.687,563.083,75.1484,90.3345,37.003,9.749
89.4667,"","","",558.196,562.679,77.6588,94.5898,37.002,9.745
89.5000,"","","",557.764,562.289,80.6756,98.6815,37.002,9.724
89.5333,"","","",557.459,561.845,83.6364,103.378,37.001,9.726
89.5667,"","","",557.303,561.6,86.2983,108.505,37,9.729
89.6000,"","","",557.239,561.358,88.7362,113.308,37,9.74
89.6333,"","","",557.012,561.365,91.3384,117.316,36.999,9.779
89.6667,"","","",556.787,561.261,93.8802,121.332,36.998,9.793
89.7000,"","","",556.658,561.11,96.3173,125.26,36.999,9.815
89.7333,"","","",556.481,560.832,98.5419,129.198,36.998,9.839
89.7667,"","","",556.385,560.52,100.464,132.731,36.999,9.833
89.8000,"","","",556.274,560.387,101.994,135.619,36.999,9.86
89.8333,"","","",555.975,560.264,103.74,138.265,36.998,9.886
89.8667,"","","",555.774,559.983,105.312,141.103,37.001,9.854
89.9000,"","","",555.703,559.761,106.655,143.711,37.001,9.822
89.9333,"","","",555.7,559.547,107.426,146.022,37.002,9.812
89.9667,"","","",555.573,559.184,108.017,148.191,37.002,9.801
90.0000,"","","",555.355,559.099,108.791,149.745,37.001,9.788
90.0333,"","","",555.143,559.088,109.531,150.767,37.002,9.753
90.0667,"","","",554.88,559.272,110.018,150.857,37.002,9.735
90.1000,"","","",554.653,559.027,110.108,150.54,37,9.773
90.1333,"","","",554.397,558.542,110.114,150.203,37,9.756
90.1667,"","","",554.216,558.363,110.334,149.613,36.998,9.798
90.2000,"","","",554,558.381,110.786,148.15,37,9.777
90.2333,"","","",553.796,558.223,111.153,146.265,36.999,9.802
90.2667,"","","",553.71,557.728,111.29,144.756,36.999,9.815
90.3000,"","","",553.521,557.209,110.959,143.879,37,9.815
90.3333,"","","",553.351,557.104,110.207,142.283,37,9.812
90.3667,"","","",553.183,557.028,109.578,139.897,37,9.817
90.4000,"","","",553.052,557.08,108.636,136.503,36.999,9.84
90.4333,"","","",552.88,557.04,107.367,132.703,37.001,9.808
90.4667,"","","",552.645,556.743,106.116,129.19,37,9.823
90.5000,"","","",552.496,556.546,104.489,125.681,37.002,9.774
90.5333,"","","",552.381,556.388,102.4,121.462,37,9.782
90.5667,"","","",552.223,556.322,100.207,116.304,37.001,9.748
90.6000,"","","",552.219,556.067,97.7297,111.137,37.002,9.716
90.6333,"","","",552.182,555.802,94.8923,106.195,37.002,9.709
90.6667,"","","",552.083,555.563,91.2278,100.552,37.001,9.708
90.7000,"","","",551.733,555.254,88.3702,96.7792,37.001,9.687
90.7333,"","","",551.58,555.202,86.087,94.6603,37.001,9.67
90.7667,"","","",551.451,555.007,84.612,93.5629,37,9.659
90.8000,"","","",551.22,554.84,83.823,92.7898,36.999,9.703
90.8333,"","","",551.013,554.696,83.5903,92.2942,36.998,9.71
90.8667,"","","",550.84,554.46,83.6277,92.3734,36.998,9.739
90.9000,"","","",550.541,554.44,83.8897,92.2672,36.998,9.763
90.9333,"","","",550.387,554.122,83.9236,92.5366,36.998,9.766
90.9667,"","","",550.283,553.748,83.942,92.7968,36.999,9.77
91.0000,"","","",550.267,553.466,83.7905,93.0592,37,9.756
91.0333,"","","",550.112,553.384,83.5598,93.0307,37.001,9.742
91.0667,"","","",549.856,553.105,83.5225,93.3224,37,9.729
91.1000,"","","",549.601,553.022,83.5149,93.6409,36.998,9.77
91.1333,"","","",549.358,552.943,83.5293,93.6579,36.997,9.803
