"sample","chamber","step","PCr_mM","dG_ATP_kJ_mol","JO2_raw_pmol_s_mL","protein_mg","n_points","window_start_min","window_end_min","sequence_source","JO2_pmol_s_mg"
"20251021_P1_02_Plantaris_A_1.8_B_1.7","A",1,1,-54.1604621620714,137.128347826087,1.8,23,94.7,95.5667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",76.1824154589372
"20251021_P1_02_Plantaris_A_1.8_B_1.7","A",2,3,-57.0896723037281,140.668260869565,1.8,23,95.5667,99.6,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",78.1490338164251
"20251021_P1_02_Plantaris_A_1.8_B_1.7","A",3,6,-58.2376436745732,121.961826086957,1.8,23,99.6,103.8,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",67.7565700483092
"20251021_P1_02_Plantaris_A_1.8_B_1.7","A",4,9,-59.2393269802932,115.399173913043,1.8,23,103.8,108.3,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",64.110652173913
"20251021_P1_02_Plantaris_A_1.8_B_1.7","A",5,12,-59.9585113492874,111.501826086957,1.8,23,108.3,112.7667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",61.9454589371981
"20251021_P1_02_Plantaris_A_1.8_B_1.7","B",1,1,-54.1604621620714,158.233304347826,1.7,23,94.7,95.5667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",93.0784143222506
"20251021_P1_02_Plantaris_A_1.8_B_1.7","B",2,3,-57.0896723037281,160.786695652174,1.7,23,95.5667,99.6,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",94.5804092071611
"20251021_P1_02_Plantaris_A_1.8_B_1.7","B",3,6,-58.2376436745732,149.078130434783,1.7,23,99.6,103.8,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",87.6930179028133
"20251021_P1_02_Plantaris_A_1.8_B_1.7","B",4,9,-59.2393269802932,133.386086956522,1.7,23,103.8,108.3,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",78.4624040920716
"20251021_P1_02_Plantaris_A_1.8_B_1.7","B",5,12,-59.9585113492874,111.414347826087,1.7,23,108.3,112.7667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",65.5378516624041
"20251022_P1_02_Plantaris_A_1.4_B_1.0","A",1,1,-54.1604621620714,220.182608695652,1.4,23,78.8333,87.8667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",157.273291925466
"20251022_P1_02_Plantaris_A_1.4_B_1.0","A",2,3,-57.0896723037281,207.239608695652,1.4,23,87.8667,91.6333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",148.028291925466
"20251022_P1_02_Plantaris_A_1.4_B_1.0","A",3,6,-58.2376436745732,195.745173913043,1.4,23,91.6333,95.7,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",139.81798136646
"20251022_P1_02_Plantaris_A_1.4_B_1.0","A",4,9,-59.2393269802932,168.150173913043,1.4,23,95.7,99.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",120.107267080745
"20251022_P1_02_Plantaris_A_1.4_B_1.0","A",5,12,-59.9585113492874,144.741173913043,1.4,23,99.7333,103.3,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",103.386552795031
"20251022_P1_02_Plantaris_A_1.4_B_1.0","B",1,1,-54.1604621620714,195.677608695652,1,23,78.8333,87.8667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",195.677608695652
"20251022_P1_02_Plantaris_A_1.4_B_1.0","B",2,3,-57.0896723037281,182.540739130435,1,23,87.8667,91.6333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",182.540739130435
"20251022_P1_02_Plantaris_A_1.4_B_1.0","B",3,6,-58.2376436745732,169.199347826087,1,23,91.6333,95.7,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",169.199347826087
"20251022_P1_02_Plantaris_A_1.4_B_1.0","B",4,9,-59.2393269802932,148.178739130435,1,23,95.7,99.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",148.178739130435
"20251022_P1_02_Plantaris_A_1.4_B_1.0","B",5,12,-59.9585113492874,127.488304347826,1,23,99.7333,103.3,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",127.488304347826
"20251027_P1_02_Plantaris_A_1.8_B_3.2","A",1,1,-54.1604621620714,185.607956521739,1.8,23,89.3667,105,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",103.115531400966
"20251027_P1_02_Plantaris_A_1.8_B_3.2","A",2,3,-57.0896723037281,179.642608695652,1.8,23,105,108.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",99.8014492753623
"20251027_P1_02_Plantaris_A_1.8_B_3.2","A",3,6,-58.2376436745732,165.725217391304,1.8,23,108.7333,112.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",92.0695652173913
"20251027_P1_02_Plantaris_A_1.8_B_3.2","A",4,9,-59.2393269802932,156.321739130435,1.8,23,112.7333,116.3333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",86.8454106280193
"20251027_P1_02_Plantaris_A_1.8_B_3.2","A",5,12,-59.9585113492874,151.903652173913,1.8,23,116.3333,119.3333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",84.3909178743961
"20251027_P1_02_Plantaris_A_1.8_B_3.2","B",1,1,-54.1604621620714,223.769391304348,3.2,23,89.3667,105,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",69.9279347826087
"20251027_P1_02_Plantaris_A_1.8_B_3.2","B",2,3,-57.0896723037281,219.583,3.2,23,105,108.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",68.6196875
"20251027_P1_02_Plantaris_A_1.8_B_3.2","B",3,6,-58.2376436745732,216.258217391304,3.2,23,108.7333,112.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",67.5806929347826
"20251027_P1_02_Plantaris_A_1.8_B_3.2","B",4,9,-59.2393269802932,203.104391304348,3.2,23,112.7333,116.3333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",63.4701222826087
"20251027_P1_02_Plantaris_A_1.8_B_3.2","B",5,12,-59.9585113492874,180.249,3.2,23,116.3333,119.3333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",56.3278125
"20251029_P1_03_Plantaris_A_0.6_B_0.8","A",1,1,-54.1604621620714,235.330043478261,0.6,23,69.4667,80,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",392.216739130435
"20251029_P1_03_Plantaris_A_0.6_B_0.8","A",2,3,-57.0896723037281,202.415347826087,0.6,23,80,83.9667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",337.358913043478
"20251029_P1_03_Plantaris_A_0.6_B_0.8","A",3,6,-58.2376436745732,191.028304347826,0.6,23,83.9667,88.5,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",318.380507246377
"20251029_P1_03_Plantaris_A_0.6_B_0.8","A",4,9,-59.2393269802932,165.19052173913,0.6,23,88.5,92.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",275.317536231884
"20251029_P1_03_Plantaris_A_0.6_B_0.8","A",5,12,-59.9585113492874,141.228347826087,0.6,23,92.7333,95.3,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",235.380579710145
"20251029_P1_03_Plantaris_A_0.6_B_0.8","B",1,1,-54.1604621620714,261.612391304348,0.8,23,69.4667,80,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",327.015489130435
"20251029_P1_03_Plantaris_A_0.6_B_0.8","B",2,3,-57.0896723037281,242.735086956522,0.8,23,80,83.9667,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",303.418858695652
"20251029_P1_03_Plantaris_A_0.6_B_0.8","B",3,6,-58.2376436745732,227.30052173913,0.8,23,83.9667,88.5,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",284.125652173913
"20251029_P1_03_Plantaris_A_0.6_B_0.8","B",4,9,-59.2393269802932,194.426304347826,0.8,23,88.5,92.7333,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",243.032880434783
"20251029_P1_03_Plantaris_A_0.6_B_0.8","B",5,12,-59.9585113492874,162.366608695652,0.8,23,92.7333,95.3,"default sequence (1,3,6,9,12 mM), dG_ATP via gatp()",202.958260869565
